SME,1/31/2022,11812,0,0,0,0,0,0,0.01,0.01,0.48,1,0,-0.65,0.06,0.02,1.6,0.44,0.34,0.12,0.17,-0.93,nan,197,11,132,3.6,227,2.6,5,1228,6,nan,nan,nan,nan,0.09,0.12,0.25,0.39,10496753833,0.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,11914,0,0,0,0,0,0,0.02,0.05,0.64,1,0,-0.95,0.05,0.37,-0.95,0.04,-0.03,0.6,0.96,-0.92,nan,144,8.8,264,5.4,581,10.4,5,698,3.6,nan,nan,nan,nan,0.09,0.12,0.25,0.39,6500000000,0.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,11929,0,0,0,0,0,0,0.01,0,0.36,1,0,2.04,-0.31,-0.6,7.64,-0.89,-1.12,-0.37,-0.1,-0.99,nan,154,8.8,353,3.6,369,5.2,5,409,1.2,nan,nan,nan,nan,0.09,0.12,0.25,0.39,12969022080,0.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,162,0,0,4,0,8,2,0.01,0,0.6,1,0,4.54,-0.3,0.07,0.99,-0.11,-0.19,0.12,-0.05,-0.87,nan,171,11,233,1.8,884,13,5,755,4.8,nan,nan,nan,nan,0.09,0.12,0.25,0.39,5500000000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,177,0,0,0,0,0,0,0.04,0.06,0.31,1,0,1.34,0.31,0.91,7.28,1.11,0.64,-0.85,0.13,-0.95,nan,130,8.8,445,6.4,839,11,5,393,3.2,nan,nan,nan,nan,0.09,0.12,0.25,0.39,19632850000,0.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,1730,0,0,0,0,0,0,0.06,0.01,0.59,1,0,0.68,0.47,0.11,-0.14,0.24,0.22,0.63,0.28,-0.9,nan,139,8.8,229,3.6,333,2.6,5,1143,6,nan,nan,nan,nan,0.09,0.12,0.25,0.39,32000000000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,1829,0,0,0,0,0,0,0.01,0,0.62,1,0,1.82,-0.32,-0.31,3.18,-0.48,-0.73,1,-0.11,-0.97,nan,109,7.2,97,3.2,332,7.2,10,1036,7,nan,nan,nan,nan,0.09,0.12,0.25,0.39,6000000000,0.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,1969,0,0,0,0,0,0,0.01,0.01,0.2,1,0,0.53,0.1,-0.02,-6.48,-0.36,-0.71,-0.26,0.07,-1,nan,225,12,79,1.6,240,4.8,10,403,2.8,nan,nan,nan,nan,0.09,0.12,0.25,0.39,11960500000,0.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,2183,0,0,1,0,3,4,0.13,0.04,0.61,1,0,-1.11,-0.07,1.01,-1.41,-0.25,-0.25,-0.41,0.61,-0.91,nan,104,6.6,462,7.2,1549,13,1,579,2.4,nan,nan,nan,nan,0.09,0.12,0.25,0.39,33685000000,0.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,2274,0,0,0,0,0,0,0.07,0.03,0.38,1,0,-0.98,0,0.04,1.02,-0.05,0.02,0.13,-0.03,-0.97,nan,227,11,316,7.2,614,10.4,5,321,2.4,nan,nan,nan,nan,0.09,0.12,0.25,0.39,5550000000,0.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,4202,0,0,0,0,0,0,0,0,0.65,1,0,-0.62,-0.03,-0.28,-5.84,0.44,0.44,0.4,-0.09,-0.92,nan,167,12,121,1.4,190,2.6,10,1266,4.2,nan,nan,nan,nan,0.09,0.12,0.25,0.39,2990000000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,4396,0,0,0,0,0,0,0.02,0.02,1.14,1,0,-0.99,-0.01,-0.37,-3.24,0.86,0.78,-0.82,-0.38,-0.89,nan,120,8.8,253,5.4,615,7.8,5,522,3.6,nan,nan,nan,nan,0.09,0.12,0.25,0.39,31868391714,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
